Content,handle
"Thank you Brooklyn! 

 
",Curtis Sliwa
 x.com/zohrankmamdani…,Zohran Mamdani
"This morning I visited the Sikh Cultural Society Gurdwara in Richmond Hill. I spoke with the board and congregation about strengthening local businesses, helping children succeed in specialized high schools, and protecting their neighborhood from the City of Yes. Thank you to",Curtis Sliwa
"🚨 NEW AD: Day One

I may not be great at every job — but I know how to make government work.

✅ 5,000 new cops to partner with community groups
✅ Getting the homeless off the streets & into care
✅ Real results for New Yorkers

Unlike dangerously inexperienced ,",Andrew Cuomo
"We have to change our ways if we want to change our results.

I will deliver excellence and accountability in our public school system.",Zohran Mamdani
"New York City businesses have been fleeing for years, and now we have the slowest private sector growth since 2003. 

This isn’t Mamdani doing it, this is the result of a failed former governor and a terrible mayor driving our city into the ground. They’ve crushed small",Curtis Sliwa
,Zohran Mamdani
Believe it,Andrew Cuomo
Team Sliwa is ready to go for Debate Night! Let’s go!,Curtis Sliwa
"It's d̶e̶b̶a̶t̶e̶ bingo night in NYC! 

And since Andrew Cuomo rarely has anything new to say, the odds are in your favor. 

Download/print a board at the link below and follow along starting at 7 p.m. on  + .",Zohran Mamdani
,Zohran Mamdani
"Rep.  fights for the people, too: he's stood up to the utilities ripping off his constituents and taken on monopoly power in Congress.

It's a true honor to earn his endorsement.Public service is all about one thing: who do you fight for? 

@ZohranKMamdani fights for the PEOPLE. 

Andrew Cuomo is a selfish POS who only fights for himself and other corrupt elites. 

I know whose side I’m on. I’m with the people. I’m with Zohran.",Zohran Mamdani
"We can only do it with you.

A year ago, Zohran Mamdani was polling at 1%. He took on the entire Democratic establishment and built a grassroots movement of 90,000 New Yorkers.

And, with your hard work, over the next eight days, this young man is going to make American history.",Zohran Mamdani
,Curtis Sliwa
"Andrew Cuomo, when New Yorkers were drowning and losing their homes during Hurricane Sandy, you told them to sell their houses and said, “Maybe Mother Nature doesn’t want you here.” That is not leadership. That is abandonment.

And it wasn’t just Sandy. During the pandemic you",Curtis Sliwa
"There’s not a chance in hell that I’ll abandon the people of New York City. 

We’re not going backwards. You deserve better.

👉 Join us: ",Curtis Sliwa
,Zohran Mamdani
"In twelve days, New Yorkers will begin to cast their ballots and face a stark choice.

A choice between democracy and oligarchy. Between a city you can afford or more of the same. Between the hope of a brighter future or a broken past.

We will choose the future.",Zohran Mamdani
Read more at .,Zohran Mamdani
"This weekend:

35 canvass launches. 
All five boroughs.
Six weeks left.

The home stretch starts now.",Zohran Mamdani
"👀New: Zohran Mamdani's transition committee raised $517,947.30 in its first 30 hours from 7,074 donations, his campaign tells me. (Average of $73)",Zohran Mamdani
"On National First Responder Day, I want to thank all the brave men and women who put their lives on the line to keep us safe. 

I’m the only candidate for mayor who truly has the backs of our first responders, and when elected, I’ll fight every day to make sure your needs are",Curtis Sliwa
I'm on the slowest bus line in the city with the slowest buses in the nation to talk to New Yorkers about what it would mean for their lives if we made them fast and free.,Zohran Mamdani
,Curtis Sliwa
"The health department has confirmed two cases of measles in Manhattan, with potential exposure on the Lower East Side and in SoHo.

Public risk is low because of our high vaccination rate—a good reminder to make sure your kids are protected. More info from  below.NEW: Two adult measles cases have been identified in Lower Manhattan.

Health Dept is reaching out to people who may have been exposed to encourage testing.

This news comes amidst concerted effort by RFK to undermine confidence in the MMR vaccine.

Thankfully—for now—the measles",Zohran Mamdani
2 minutes until debate time!!! Tune into NBC Channel 4 now! Thank you to  for putting together a great rally outside. Let’s win this! Join us: ,Curtis Sliwa
"Thank you for the endorsement,  

New Yorkers need results, not 
de Blasio 2.0.  

Every parent knows education is the great equalizer. It’s how we give our children the chance to get ahead and live better lives than the generation before them. That’s why I putPLACE NYC Endorses Andrew Cuomo for Mayor
“Without a doubt, Andrew Cuomo’s education plan aligns best with our advocacy. He understands that families who rely on public schools want more academic rigor and more opportunities for accelerated learning,” said Lisa Marks,",Andrew Cuomo
"Congratulations, . I know how hard you worked for this.Trump says he'd vote for Cuomo",Zohran Mamdani
👆👆,Curtis Sliwa
,Andrew Cuomo
"You put in the hard work to live here. You deserve to feel safe here so you can work, travel and enjoy New York City no matter the hour. Read my plan to protect our city: ",Curtis Sliwa
Another desperate attempt by people who can’t stand the idea of New Yorkers electing their mayor instead of billionaires buying one.,Zohran Mamdani
"Today I was proud to receive the endorsement of the Operating Engineers - 21,000 hardworking men and women who literally build NYC.
 
These are the people who power our airports, bridges, subways, and schools, and they know what it takes to get the job done.  I’ve spent my career",Andrew Cuomo
At the marathon’s halfway point on Manhattan Ave in Greenpoint.,Zohran Mamdani
"This am, I had the privilege of joining the congregation of the Free Methodist Church of Bethlehem in Brooklyn

We discussed affordability, public safety, & how the government must deliver real results. Together, we can make NYC safe, affordable, & full of opportunity once again",Andrew Cuomo
,Zohran Mamdani
"It’s beyond horrific that in 2025 antisemitism is at an all time high. The terror attack at a Manchester synagogue on Yom Kippur was terrorism and a display of vile Jew hatred.  My heart is with the victims and Jewish communities in the UK and here in New York. 

I’ve stoodManchester police say they believe the synagogue attacker is 35-year-old Jihad Al-Shamie, a British citizen of Syrian descent.
Jihad drove a car at people outside the synagogue before attacking bystanders with a knife. Jihad was shot dead by police at the scene.",Curtis Sliwa
"Thank you Staten Island! It’s time to get to the polls! Bring your family, friends and neighbors. Find your pollsite: ",Curtis Sliwa
,Zohran Mamdani
"Getting ready to rally at Forest Hills Stadium. 

@ us in your pics and videos 🙂",Zohran Mamdani
"A busy first day as your Mayor-elect: early morning interviews, transition announcements and meetings. More to say on all of it tomorrow. 

But a highlight was lunch with my Congresswoman  at Laliguras Bistro in Jackson Heights.",Zohran Mamdani
"The last time the U.S. hosted the World Cup, a ticket to the final was <$200 — in today's dollars.

Next year, we're looking at *face value* tickets of $6,000.

I joined Lina Khan on  last week to talk about FIFA's absurd and greedy ticketing plans.",Zohran Mamdani
"We didn’t smash any tables. We didn’t eat a garbage plate. But you better believe the Bills got that W today.

Thanks to Governor  for bringing the #BillsMafia energy to Astoria today—and to Murphy’s Bar for having us.",Zohran Mamdani
"One of the most powerful corporations in the history of the world is firing unionized drivers in Queens.

Solidarity with the  who rallied today against these unjust layoffs and to demand good faith negotiations.BREAKING: Amazon Teamsters and supporters rallied today at Amazon’s DBK4 facility in Queens following the company’s sudden and illegal firing of over one hundred of its unionized drivers.

Drivers at the DBK4 facility joined the Teamsters in September 2024. Last year, the",Zohran Mamdani
"ROFL look at big bird De Blasio!

#WorstMayorEverHappy birthday @ZohranKMamdani 

#nokings",Curtis Sliwa
"We're facing a dire shortage of teachers. We'll hire 1,000 new ones every single year and deliver on the class-size reduction law I was proud to help pass in Albany.",Zohran Mamdani
"Today, as New York City came together for the NYC Marathon, we honor Zoe Koplowitz. 

She lives with multiple sclerosis and has crossed the finish line of the NYC Marathon 25 times. She reminds us that the race belongs not only to the swift and strong, but to those who keep",Curtis Sliwa
"I’m so grateful to earn the support of Senator , one of the most prolific and principled legislators in our state. We will accomplish great things together for the people of New York City.I am proud to endorse @ZohranKMamdani for mayor. He is the only candidate offering real solutions to the problems that are front of mind for NYers, and the only one committed to serving the interests of NYers, not his own and especially not Donald Trump's. https://
nbcnewyork.com/news/local/zoh
ran-mamdani-endorsement-liz-krueger/6384517/
…",Zohran Mamdani
"It was an honor to speak at the National Council of Negro Women’s forum in Queens. Cuomo and Mamdani didn’t show. I always will. For 46 years I’ve stood with communities across this city. As Mayor, I’ll stop displacement, bring down the cost of living, make our streets safe, and",Curtis Sliwa
"A major coastal storm is headed our way tonight and into Monday, which is likely to bring heavy winds and rainfall. Please take precautions! 

Report locations of downed trees at  or call 311. Report power outages to 1-800-75-CONED.Here is the latest briefing on the coastal storm expected to impact the region today into Monday. Click the link here for the details: https://
weather.gov/media/okx/DSSB
uilder/LatestBriefing.pdf
…
#nycwx #nywx #njwx #ctwx #hvwx #liwx",Zohran Mamdani
"I am once again asking you to stop sending us money.

But we do need your time. ⏰",Zohran Mamdani
Trump's ICE is a reckless agency.  Collaboration hasn't worked. We need to change our laws—and stand up to Washington.,Zohran Mamdani
,Zohran Mamdani
"And we've already seen the transformative impacts of eliminating the fare when we won and implemented a historic fare free bus pilot on one line in each borough.

Ridership went up. Assaults on operators went down. And people saved money.",Zohran Mamdani
"It was good to be at Rochdale Village yesterday evening for a conversation about improving quality of life, upgrading infrastructure, and ensuring communities like these remain affordable for the people who call them home.",Zohran Mamdani
True story,Curtis Sliwa
How they actually feel about each other.,Zohran Mamdani
,Curtis Sliwa
"“None of this is simple. None of it is going to be easy. But what has been so frustrating is it has seemed for many years as if there are many who are not even trying. They are simply at peace with a status quo that we know is broken for so many."","","",457""",Zohran Mamdani
"Plenty of shifts left, let’s get it",Zohran Mamdani
"Nancy and I visited supporters on Coyle Street to say thank you to everyone rallying for our campaign.

This community has been out here for over a year, standing up against Adams and the shelter forced next to homes, schools, and small businesses.

All my opponents support “City",Curtis Sliwa
"The choice is simple: a new, better way forward for NYC or , Bill de Blasio 2.0",Andrew Cuomo
My message to the Jewish community in NYC.,Curtis Sliwa
"New Yorkers are sick of being told to support those who brought us a crime crisis that victimizes people hard working every day. 

Cuomo and Mamdani support No Cash Bail, less police, and changed laws to make it difficult for our brave law enforcement to do their jobs. 

Thanks",Curtis Sliwa
"If you didn’t get a chance to watch Thursday’s mayoral debate, here are some highlights. Bottom line: New York, you deserve a mayor with REAL experience, someone who backs up their promises with action — not empty words.",Andrew Cuomo
"Great to meet with Rabbi Zvi Pollack of Congregation Agudas Shomrei Hadas. Rabbi Pollack is a true Staten Island icon and the borough’s longest-serving active Rabbi. For nearly 50 years, Rabbi Pollack’s leadership and vision have helped shape Staten Island into a strong and",Andrew Cuomo
,Zohran Mamdani
"This campaign has always been about bringing people together to improve the quality of life for every New Yorker. 

I welcome Leader Jeffries’ support and look forward to delivering a city government and building a Democratic Party relentlessly committed to an affordabilityBreaking News: Representative Hakeem Jeffries, the House Democratic leader, endorsed Zohran Mamdani in the race for mayor of New York City. Jeffries emphasized that the party needed to unite in the face of an “existential” threat from President Trump. https://
nyti.ms/43ifLJl",Zohran Mamdani
Great to join  and  for a wide-ranging 90 minute conversation on  — episode to drop on 10/21,Andrew Cuomo
"As the sun sets on Day 3 of early voting, New York, I’m not backing down. And neither should you. 

We’re going to shock the world on November 4. 

Let’s go! 🚨

👉 ",Curtis Sliwa
"Thank you Rockaway! 

The movement to take our city back is unstoppable🔥",Curtis Sliwa
"Shanah Tovah! As the Jewish community prepares to welcome the New Year, I want to extend my warmest wishes for health, peace, and blessings in the days ahead. Rosh Hashanah is a time of reflection, renewal, and hope for what is to come.

I am grateful to the Eden family for",Curtis Sliwa
BREAKING:  Mayor Adams will NOT drop out of race for Mayor,Zohran Mamdani
"Women are disproportionately victimized by violence while commuting to work, school or going out at night. The subway is unsafe late at night, filled with harassment, perverts, catcalling, and hate towards women.

Everyone in New York deserves to feel safe no matter the hour or",Curtis Sliwa
Even in a contest against men twice his age,Zohran Mamdani
"I'm horrified by the shooting of Charlie Kirk at a college event in Utah.

Political violence has no place in our country.",Zohran Mamdani
,Zohran Mamdani
"Hochul just pulled off the biggest political sellout in New York history. 

Weeks ago she swore she wouldn’t raise taxes. Now she is in a shotgun marriage with Mamdani to save her own skin. 

Catastrophe for our city and state. Worst governor in America.",Curtis Sliwa
"On the holiest day in the Jewish year, an antisemitic attack at a synagogue in England has taken the lives of two and gravely injured others. My thoughts are with the victims and their families.

While this terrible violence occurred an ocean away, a very real fear casts a shadow",Zohran Mamdani
"NEW YORK CITY, get out there and VOTE!

Remember I’m on the second line of the ballot under Fight & Deliver.

#VoteforCuomo",Andrew Cuomo
"A Mayor has to be ready to hear both — and everything in between.Zohran Mamdani’s newfound celebrity on full display on an uptown R train after leaving a Union Square presser. 

He got some “we love you”, a couple “fuck you” and many requests for pictures",Zohran Mamdani
"Thank you for your support! It’s clear whose campaign is powered by working people, not the elite. The momentum is with us — and together we’ll keep building it. Chip in today at: ",Curtis Sliwa
"This morning I ran the NYC Gaza 5K in Prospect Park for the third time, alongside the Harlem Run Club, to raise money for , which delivers critical humanitarian aid and services to Palestinians in Gaza. 

I hope you'll join me in donating.",Zohran Mamdani
"This initiative will provide $12,000 per student per year to cover tuition for teaching degrees in exchange for a commitment to teaching in the NYC Public School system for three years. 

Participants will also receive free OMNY cards, certification exams, and mentorship from",Zohran Mamdani
"“Roughly two months before New York City’s mayoral election, Zohran Mamdani has raised enough money to hit the $8 million fund-raising cap.”",Zohran Mamdani
Thank you!! Let’s win this!,Curtis Sliwa
"New Park Pizzeria in Howard Beach was where I had my very first slice in 1959. I was visiting my Aunt Mary’s family in Old Howard Beach when my cousin Joey G., the “cheech from Howard Beach,” brought me there. It was delicious then, and it was just as good last night. For",Curtis Sliwa
3 hours left! Let’s do it New York!,Curtis Sliwa
"💪 Election Day is ONE MONTH away! HTC volunteers are bringing the energy in East New York, Brooklyn for @ZohranKMamdani for NYC Mayor!",Zohran Mamdani
"The Bronx united is a force to reckon with. 

Incredible energy and purpose at the  dinner last night with ,  and so many wonderful leaders.",Zohran Mamdani
"This city says we don’t judge you by where you came from or what your religion is -- we’re all New Yorkers. That’s New York City.

'We’re All New Yorkers' Cuomo Wins Support Across Muslim Communities"" via """,Andrew Cuomo
"I’m the only candidate who supports police and fights for victims. Cuomo is dangerous. He ended cash bail and closed more jails than any governor, flooding our streets with violent repeat offenders. Now he wants to rewrite history but we will never forget the war on public safety",Curtis Sliwa
,Curtis Sliwa
"https://pbs.twimg.com/media/G3P_eExWYAEpUob?format=jpg&name=small,https://pbs.twimg.com/media/G3P_foQXcAABF2i?format=jpg&name=360x360,https://pbs.twimg.com/media/G3P_g0mXcAAsz28?format=jpg&name=360x360",Zohran Mamdani
,Zohran Mamdani
"Federal agents from ICE and HSI—some in military fatigues and masks—descended on Chinatown today in an aggressive and reckless raid on immigrant street vendors.

Once again, the Trump administration chooses authoritarian theatrics that create fear, not safety. It must stop.More than two dozen federal law enforcement officials descended on Canal Street in Chinatown on Tuesday afternoon, detaining at least four people as part of an apparent raid that later escalated into street clashes with bystanders. https://
gothamist.visitlink.me/pOjafu",Zohran Mamdani
,Curtis Sliwa
Vote for me and I’ll bust out the wok and let it rip like that dude,Curtis Sliwa
"Your ability to lie is unprecedented. This is ironic. Both you and Mamdani have voiced support for:

- No Cash Bail
- Closing Rikers Island
- Defunding the Police
- Raise the Age
- “Safe” Injection Sites
- Congestion Pricing
- City of Yes
…and much much more 

I am the ONLY",Curtis Sliwa
Tune in tonight on  to  as I discuss my campaign for NYC Mayor! 🗽,Curtis Sliwa
https://pbs.twimg.com/media/G0loSEEXYAAZzZ0?format=jpg&name=small,Zohran Mamdani
"Only in New York can you be on the campaign trail and bump into a bride and groom in tux and gown. This city has everything and that is why I’ve fought for it my whole life and why, as mayor, I will fight every day to keep it safe, affordable, and full of surprises like this.",Curtis Sliwa
"Thank you  for your endorsement.

New Yorkers, early voting is underway. Don’t sit out this election. Make your voice heard and your vote count. 

#VoteforCuomo

",Andrew Cuomo
"Honored to receive Bishop Calvin Rice’s powerful endorsement this morning at  in Queens: New York doesn’t need extremes, we need unity & leadership that gets results.",Andrew Cuomo
"We're with  healthcare workers in front of St. Barnabas Hospital in the Bronx, where patients and staff will bear the devastating brunt Trump's cuts to Medicaid.

We need a Mayor who will stand up to this federal administration, not take orders from it.",Zohran Mamdani
"Together, these proposals:

1) Increase accountability
2) Reduce redundant spending
3) Grow compliance rates for school-level purchases
4) Decrease retroactive and emergency procurements
5) Accelerate the procurement cycle",Zohran Mamdani
"I already beat another guy who cut Medicaid, gave tax breaks to billionaires, and hounded multiple women who accused him of sexual harassment — might as well debate the one actually calling the shots.",Zohran Mamdani
"Proud to join Candidates’ Night with the Astoria Homeowners, Tenants & Business Civic Association. I spoke about my plans to lower costs for residents, clean up our community, make the city work better, and keep everyone safe. Read more: ",Curtis Sliwa
Yes,Curtis Sliwa
Muslims Against Mamdani: Ask Us Why,Andrew Cuomo
".’s latest proposal to eliminate NYC’s Gifted & Talented program is not just another political stunt– it’s destructive and emblematic of a deeper problem in today’s Democratic Party–  the surface level appearance of a solution is sufficient.

The Department ofMamdani Says He Would Phase Out N.Y.C. Gifted Program: https://
nytimes.com/2025/10/02/nyr
egion/mamdani-schools-gifted-and-talented-program.html?unlocked_article_code=1.qU8.2r_Q.kim6W6xpUuvp&smid=url-share
…",Andrew Cuomo
"This morning I met with 150+ pastors & community leaders in Bed-Stuy

The message is simple: government isn’t about ideas, it’s about getting things done.

We’ve done it before: raised wages, rebuilt LaGuardia, passed the smartest gun violence prevention laws in the nation.  And",Andrew Cuomo
"How desperate and disturbing is this? The elite are so desperate to silence us. But, no matter how much the elite spend, your vote counts EQUALLY as theirs. Make your plan- it’s now or never NYC! Vote here: Defend NYC, a pro-Cuomo super PAC operated by Trump adviser Jason Meister, is spending hundreds of thousands of dollars on sending out this text message to NYC voters, hoping it'll convince them to vote Cuomo for mayor, new filings show.",Curtis Sliwa
"If you loved this ad, sign up for our Survivor phonebank **tonight at 6 PM** hosted by the contestants! 

Signup here ⬇️ ",Zohran Mamdani
"As Netanyahu addresses the United Nations in New York City this morning, the world recoils in horror at the ongoing genocide in Gaza.",Zohran Mamdani
"We have built something extraordinary together. But we can't stop now.

Let's leave it all on the doors.",Zohran Mamdani
". owes NY'ers answers.

Today's damning  exposé revealed what we all suspected:

-The  (DSA) has been dictating Mamdani’s policies for years & is deeply embedded in his campaign
-Weekly meetings
- Secret marching orders
- And they expect him toRed alert: Mamdani expected to follow will of radical-left DSA if elected, group’s leaders boast at meeting attended by Post https://
trib.al/4UqtrjJ",Andrew Cuomo
My full message for these High Holy Days.,Zohran Mamdani
"This morning in Astoria — alongside ,  and  VP Mary Vaccaro — we released “Community to Classroom,” a new citywide teacher recruitment initiative.",Zohran Mamdani
"Considering your username, I think you sit this one out. Also it’s 2025, so no need for that…try again.",Curtis Sliwa
"The trend continues—the momentum is ours.  

The more people vote, the stronger we are -- let's go, New York City.

We are going to win!New - Mayor poll - NYC

🔵 Mamdani 44%
🟡 Cuomo 39%
🔴 Sliwa 16%

Atlasintel #A+ - LV - 11/2",Andrew Cuomo
Black New Yorkers respond to ’s statements,Andrew Cuomo
"Today’s news confirms it: Cuomo is Trump’s choice for Mayor. The White House is considering jobs for Adams and Sliwa to clear the field.

New Yorkers are sick of corrupt politics and backroom deals. No matter who’s running, we will deliver a better future on November 4.Breaking News: President Trump's advisers are said to have discussed giving Mayor Eric Adams a position in the administration as a way to clear the field in November’s mayoral election and damage the chances of the Democratic front-runner, Zohran Mamdani. https://
nyti.ms/47sVF1S",Zohran Mamdani
We can make it easier for small businesses and entrepreneurs to flourish while also ensuring that the most profitable corporations in the world pay their fair share.,Zohran Mamdani
"Good morning, Staten Island!

I’ve been coming here for years, not just popping in during election season like the others. 

I’ve always stood with you, and I always will.",Curtis Sliwa
"On the 24th anniversary of 9/11, I joined Cantor Fitzgerald’s Charity Day to honor those we lost and support the families who live with this pain every day.

Out of tragedy, New Yorkers showed resilience and generosity. That spirit endures. 🕯️💙
#NeverForget",Andrew Cuomo
This happens to be true.,Zohran Mamdani
That’s Cuomo as he lost to Mamdani already. 70% of Dems didn’t rank him. None of my supporters would. Stop silencing the amazing people standing with me everyday.,Curtis Sliwa
"Always great being in the Bronx. You can feel the momentum building. 

The people will win.",Curtis Sliwa
It’s an honor to have the support of  as we enter the final days before the election and to say in one voice: hands off .,Zohran Mamdani
Soap is cool,Curtis Sliwa
"How Are the Very Rich Feeling About New York’s Next Mayor?""",Zohran Mamdani
"Team Sliwa is out at the Woodhaven Street Fair meeting thousands of great New Yorkers! We are going door to door, visiting festivals, and making calls everywhere. We are grassroots and together we can win! 💪
",Curtis Sliwa
,Zohran Mamdani
"A great day in the Bronx spending time with New Yorkers that are building, hiring and driving our city forward!",Andrew Cuomo
Move here and vote,Curtis Sliwa
Forest Hills,Zohran Mamdani
This city belongs to you.,Zohran Mamdani
,Zohran Mamdani
"Celebrating our first Queens HQ! I was born in this city. I’ll die fighting for the people in this city. 

We will fight every day till we win, because the amazing people of NYC are worth fighting for.",Curtis Sliwa
Upper West Side,Zohran Mamdani
"New York’s Bravest once again showed us what true courage looks like this morning in the Bronx.  The men and women of the FDNY run into the fire so that New Yorkers can be safe. Their bravery and sacrifice, and that of all of NY’s first responders, remind us of the strength of#Breaking: Emergency crews are responding to reports of a possible gas explosion and partial building collapse in the Bronx. https://
cbsloc.al/4nFxaDJ",Andrew Cuomo
"Yom Kippur is a day of reflection, of forgiveness, of restoration. This year, may we all pray for a better, kinder, more peaceful future.

Wishing all who observe across the five boroughs and the world a meaningful, easy fast. G’mar chatimah tovah.",Zohran Mamdani
"The NYPD now responds to hundreds of thousands of mental health calls every year, slowing response times for other emergencies. 

We can deploy trained public health workers and allow cops to focus on the serious crimes that too often go unresolved.",Zohran Mamdani
"Thank you, New York City. 

Now let’s win.",Zohran Mamdani
Find out how to say it tonight on !Tonight! Jon Stewart sits down with Zoehan Mendairy ❌ Zoeran Ma'amdanny ❌ Zohran Mamdani ✅,Zohran Mamdani
👍,Curtis Sliwa
"We need real compassion and real solutions.

The subways are the lifeblood of New York City, but they’ve become unsafe, disorderly, expensive and dysfunctional. Rising crime, mental health breakdowns, and fare evasion have turned trains and stations into hotbeds of lawlessness.",Curtis Sliwa
"In the quiet of the night, when the cameras are off, the crowds have gone home, and there are no more digital hearts to be awarded, it has become increasingly clear that ’s mind is an empty vessel consumed with only one thing: saying whatever it takes to win the“We can’t reform our way out of a racist police system that’s working exactly as designed — as a means of control over Black & brown New Yorkers,” Mamdani wrote in 2022, when he was pushing to cut the NYPD by 1,300.

@boreskes on then and now
https://
nytimes.com/2025/09/22/nyr
egion/mamdani-nypd-officers-police.html?smid=tw-share
…",Andrew Cuomo
,Curtis Sliwa
"Our city is facing the highest attrition rate in modern history. We need more police.

#VoteforCuomo #SayNoToZo",Andrew Cuomo
"🚨 Read My 100 Day Plan to Make NYC Safe, Clean, Functional and Affordable! My administration will be focused, transparent, and accountable. New Yorkers will finally have a mayor who works for working people, not the political elite. Read more: ",Curtis Sliwa
"We’re hiring!

Our new resume portal is live, and we’re looking for top talent in NYC to help build this administration and deliver on our affordability agenda.

Could that be you? Apply using the link below.
",Zohran Mamdani
"Congratulations to  /  workers for reaching strong tentative agreement. 

Even as researchers face federal funding cuts, you have proven that organizing is the way to raise standards and secure your rights on the job.We reached a Tentative Agreement! The strike is suspended pending the results of our ratification vote. Stay tuned for more details on the vote!",Zohran Mamdani
"Thank you to  for the endorsement!

New Yorkers, we CAN win this election, but only if every single one of you shows up to VOTE. 🗳️

Don’t count yourself out or think your vote won’t matter. It just might be the one that makes the difference.

Early voting has begun.",Andrew Cuomo
"On this Yom Kippur, I wish all who observe an easy and meaningful fast.
This sacred day reminds us of the power of reflection, forgiveness, and renewal. 

None of us is perfect, I know I have made mistakes, even when acting with the best of intentions. Yom Kippur teaches us to",Andrew Cuomo
"Find your early voting site here:

",Curtis Sliwa
"No more corruption and chaos.

",Curtis Sliwa
"We stand with In recent months, three horses pulling carriages have spooked and bolted in Central Park. Pedestrians were injured. Public safety is one of several reasons why the Central Park Conservancy is, for the first time, calling for a ban on horse-drawn carriages. https://
nytimes.com/2025/08/12/nyr
egion/central-park-horse-carriages.html?smid=nytcore-ios-share&referringSource=articleShare
…",Curtis Sliwa
"How do we speed buses up? There are plenty of tools already in the city's toolbox. 

Just look at the 14th St busway.The 14th Street Busway has been a smashing success: faster commutes, fewer crashes, calmer streets. 

So why is Eric Adams blocking a similar plan for 34th Street?",Zohran Mamdani
"One year ago today, just before dawn, preparing for my first interview as a candidate for Mayor of New York City.

What we have built together over these past 12 months is nothing short of extraordinary.

12 more days to bring it home.",Zohran Mamdani
See you tonight NYC — Round 2,Andrew Cuomo
"The best days in NYC are still ahead. I’m asking for your vote this Tuesday to be your next mayor, for the people who power this city. If you haven’t voted yet, make your plan today. My plan to save NYC starts day one. I’ll make city agencies work efficiently to keep communities",Curtis Sliwa
Andrew Cuomo is incapable of speaking clearly and directly about Trump’s authoritarianism.,Zohran Mamdani
Polls are open until 9pm. ,Zohran Mamdani
"🚨 Within one hour this week: a slashing in Jackson Heights, a knifepoint robbery at 59th St, a brutal Brooklyn beating, and a sword-wielding killer. We spoke about how I’d fix rampant crime at my presser this morning. 

Our subways & buses have become unsafe and lawless. Riders",Curtis Sliwa
"What changed?This was 2018, Gov Andrew Cuomo BLOWS UP New York with HORRIFIC Leftist policies: No Cash Bail/SHUTTING DOWN Prisons. Now he’s running for Mayor to “fix” New York, counting on people not remembering that HE BROKE NEW YORK. DO NOT LET HIM GET AWAY WITH IT.",Curtis Sliwa
This never happened… But keep trying to silence hundreds of thousands of people who are fighting for us everyday. We’re not going back to those who brought us this level of hardship and decline to NYC. A vote for Cuomo is a vote for Mamdani.,Curtis Sliwa
"Thank you for the support, Rabbi Miller — together we will unite NYC and fight hate in all its forms 

Prominent Rabbi Endorses Andrew Cuomo, Warns Mamdani Poses Threat To Jewish Community  via .CA",Andrew Cuomo
"Andrew Cuomo cheered the closure of Rikers. Just last month he said it should have been shut a decade ago. Now, desperate for a rebrand, he says keep it open. Which Cuomo are New Yorkers supposed to believe—the one from 2018? 2019? September 2025? October 2025?

I’m consistent.*New* Cuomo Calls for Rebuilding Rikers Island Instead of Closing the Jail Complex: https://
nytimes.com/2025/10/08/nyr
egion/cuomo-rikers-island-jails.html?unlocked_article_code=1.r08.HyUO.MXCmY3Vl_Kra&smid=url-share
…",Curtis Sliwa
,Curtis Sliwa
"Congratulations  Local 210 workers at Perrigo on ratifying a strong new contract. I was proud to walk the picket line with you in the Bronx earlier this week.

Workers shouldn't have to strike to win dignity and respect on the job — but sometimes that's what itToday I walked the picket line with @TeamstersJC16 Local 210 members on strike in the Bronx.

When @PerrigoCompany picked this fight, it wasn't just with these workers — it's with all of us. Because New York is a union town.",Zohran Mamdani
Now Cuomo is glazing me? Damn…,Curtis Sliwa
"I am thinking of the people of Jamaica, and the many New Yorkers with loved ones there, as Hurricane Melissa — fueled by a warming ocean — grows into the strongest storm ever to bear down upon the island.",Zohran Mamdani
"Yesterday I sat down with the Manhattan Chamber of Commerce to share my vision for a stronger, more prosperous New York.

For too long, government has been an obstacle to growth. My plan will change that:

-Launching a $1.5B Five-Borough Economic Transformation Fund",Andrew Cuomo
Who was the one candidate fighting agaisnt the illegal migrant shelters and was arrested for it?,Curtis Sliwa
"This morning I visited the Sikh Center of New York in Queens, where I was welcomed with incredible warmth. 

The Sikh community has always been a vital part of the New York family, embodying the spirit of seva - service to others - that makes our city stronger, fairer, and more",Andrew Cuomo
"New Yorkers, WE WILL WIN this election. Not just for ourselves, not just for our families, but for our city, our state, and our country. 

Early voting is underway. Cast your vote and show the power of unity in our beautiful city at the polls. Together, we’ll keep New York moving",Andrew Cuomo
Got a big team dude…,Curtis Sliwa
"Forty days left. The elites are panicking. Even Gerson Borrero, who has previously supported Cuomo, said last night on ’s “Inside City Hall” that he knows it’s true and he personally knows some of the people who tried to bribe me. I cannot be bought. I will not stand by while",Curtis Sliwa
"We've come a long way in building engineering safety—it's time our regulations caught up.

While we must ensure that older buildings with more brittle facades are safe for the public, longer inspection timelines are more appropriate for newer buildings.",Zohran Mamdani
I visited Grand Street Senior Housing on the Lower East Side today and tried a little Bomba y Plena…,Zohran Mamdani
"Having a great time celebrating Sukkot here in Crown Heights! Wishing everyone a joyful holiday filled with laughter, community, and tradition. Chag Sameach!",Curtis Sliwa
"Today we launched South Asians for Cuomo — a powerful & diverse multi-denominational grassroots coalition of Hindus, Muslims & Sikhs — uniting South Asian New Yorkers behind our vision for a safer, fairer, more affordable city.

NYC’s greatest strength is its diversity — and",Andrew Cuomo
